Labels,Suffixes
0,"ar,ım"
0,"ar,sın"
0,ar
0,"ar,ız"
0,"ar,sınız"
0,"ar,lar"
0,"acağ,ım"
0,"acak,sın"
0,acak
0,"acağ,ız"
0,"acak,sınız"
0,"acak,lar"
0,"ıyor,um"
0,"ıyor,sun"
0,ıyor
0,"ıyor,uz"
0,"ıyor,sunuz"
0,"ıyor,lar"
0,"tı,m"
0,"tı,n"
0,tı
0,"tı,k"
0,"tı,nız"
0,"tı,lar"
0,"ıyor,du,m"
0,"ıyor,du,n"
0,"ıyor,du"
0,"ıyor,du,k"
0,"ıyor,du,nuz"
0,"ıyor,lar,dı"
0,"ma,m"
0,"ma,z,sın"
0,"ma,z"
0,"ma,yız"
0,"ma,z,sınız"
0,"ma,z,lar"
0,"m,ıyor,um"
0,"m,ıyor,sun"
0,"m,ıyor"
0,"m,ıyor,uz"
0,"m,ıyor,sunuz"
0,"m,ıyor,lar"
0,"ma,dı,m"
0,"ma,dı,n"
0,"ma,dı"
0,"ma,dı,k"
0,"ma,dı,nız"
0,"ma,dı,lar"
0,"m,ıyor,du,m"
0,"m,ıyor,du,n"
0,"m,ıyor,du"
0,"m,ıyor,du,k"
0,"m,ıyor,du,nuz"
0,"m,ıyor,du,lar"
0,"ma,yacağ,ım"
0,"ma,yacak,sın"
0,"ma,yacak"
0,"ma,yacağ,ız"
0,"ma,yacak,sınız"
0,"ma,yacak,lar"
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
2,-
2,-
0,-
2,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
0,-
2,-
2,-
2,-
2,-
2,-
2,-
0,-
0,-
0,-
0,-
0,-
0,-
2,"im,e"
0,"im,de"
1,"im,den"
2,"im,in"
2,"im,i"
2,im
1,"i,ne"
2,"i,nde"
1,"i,nden"
2,"i,nin"
2,"i,ni"
2,in
1,"i,ne"
2,"i,nde"
1,"i,nden"
2,"i,nin"
2,"i,ni"
2,i
2,"ler,im,e"
0,"ler,im,de"
1,"ler,im,den"
0,"ler,im,in"
1,"ler,im,i"
2,"ler,im"
2,"ler,i,ne"
1,"leri,nde"
1,"ler,i,nden"
1,"ler,i,nin"
1,"ler,i,ni"
2,"ler,in"
2,"ler,i,ne"
1,"leri,nde"
1,"ler,i,nden"
1,"ler,i,nin"
1,"ler,i,ni"
2,"ler,i"
2,"ur,um"
2,"ur,sun"
2,ur
2,"ur,uz"
2,"ur,sunuz"
2,"ur,lar"
2,"acağ,ım"
2,"acak,sın"
2,acak
2,"acağ,ız"
2,"acak,sınız"
2,"acak,lar"
2,"uyor,um"
2,"uyor,sun"
2,uyor
2,"uyor,uz"
2,"uyor,sunuz"
2,"uyor,lar"
2,"du,m"
2,"du,n"
2,du
2,"du,k"
2,"du,nuz"
2,"du,lar"
2,"uyor,du,m"
2,"uyor,du,n"
2,"uyor,du"
2,"uyor,du,k"
2,"uyor,du,nuz"
2,"uyor,lar,dı"
2,"ma,m"
2,"ma,z,sın"
2,"ma,z"
2,"ma,yız"
2,"ma,z,sınız"
2,"ma,z,lar"
2,"m,uyor,um"
2,"m,uyor,sun"
2,"m,uyor"
2,"m,uyor,uz"
2,"m,uyor,sunuz"
2,"m,uyor,lar"
2,"ma,dı,m"
2,"ma,dı,n"
2,"ma,dı"
2,"ma,dı,k"
2,"ma,dı,nız"
2,"ma,dı,lar"
2,"m,uyor,du,m"
2,"m,uyor,du,n"
2,"m,uyor,du"
2,"m,uyor,du,k"
2,"m,uyor,du,nuz"
2,"m,uyor,du,lar"
2,"ma,yacağ,ım"
2,"ma,yacak,sın"
2,"ma,yacak"
2,"ma,yacağ,ız"
0,"ma,yacak,sınız"
2,"ma,yacak,lar"
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
2,-
